CENTRO_POBLADO;LATITUD;LONGITUD;3G;4G;VOZ;SMS;MMS;CANT_EB_3G;CANT_EB_4G
SAN RAMON;-7.3042;-79.40231;0;1;1;1;0;0;0
LIMONCARRO (LIMON CARRO);-7.30187;-79.41654;0;1;1;1;0;0;2
SAN ISIDRO;-7.30228;-79.41846;0;1;1;1;0;0;0
JEQUETEPEQUE;-7.33755;-79.56311;0;1;1;1;0;1;1
PACASMAYO;-7.40001;-79.56725;0;1;1;1;0;0;7
CRUCE SAN MARTIN DE PORRES (EL CRUCE);-7.33264;-79.48325;0;1;1;1;0;0;1
TAYABAMBA;-8.27772;-77.29577;0;1;1;1;0;1;2
RETAMAS;-8.02052;-77.47625;0;1;1;1;0;0;0
HUAMACHUCO;-7.81563;-78.04869;0;1;1;1;0;0;7
COIGOBAMBA;-7.83437;-77.99563;0;1;1;1;0;0;0
CHUGAY;-7.7823;-77.86771;0;1;1;1;0;0;0
LA BANDA;-7.83871;-77.87525;0;1;1;1;0;0;0
CURGOS;-7.86026;-77.94357;0;1;1;1;0;1;1
